Popularity in 2005,,,,
Rank,Male name,Number of,Female name,Number of
,,males,,females
239,Kai,"1,413",Annabelle,"1,405"
240,Skyler,"1,403",Lindsay,"1,398"
241,Johnny,"1,394",Kira,"1,390"
242,Keegan,"1,390",Selena,"1,379"
243,Brett,"1,389",Macy,"1,368"
244,Griffin,"1,375",Hanna,"1,342"
245,Derrick,"1,372",Heaven,"1,334"
246,Marcos,"1,360",Katrina,"1,328"
247,Drake,"1,336",Clara,"1,326"
248,Raul,"1,332",Jazmine,"1,313"
249,Braxton,"1,316",Jadyn,"1,312"
250,Kaiden,"1,315",Stella,"1,308"
251,Gerardo,"1,312",Kailey,"1,298"
252,Simon,"1,312",Nina,"1,287"
253,Armando,"1,311",Alaina,"1,282"
254,Grayson,"1,308",Rebekah,"1,281"
255,Ronald,"1,302",Allie,"1,280"
256,Kayden,"1,298",Guadalupe,"1,272"
257,Angelo,"1,294",Allyson,"1,271"
258,Chance,"1,275",Savanna,"1,269"
259,Leo,"1,274",Piper,"1,261"
260,Brock,"1,260",Alison,"1,256"
261,Enrique,"1,259",Aniya,"1,246"
262,Lukas,"1,257",Kendra,"1,243"
263,Jaime,"1,256",Cameron,"1,241"
264,Lance,"1,255",Eleanor,"1,237"
265,Malik,"1,252",Hayley,"1,234"
266,Dante,"1,240",Kayleigh,"1,233"
267,Tyson,"1,238",Kara,"1,229"
268,Phillip,"1,233",Carmen,"1,227"
269,Fabian,"1,230",Tessa,"1,224"
270,Emanuel,"1,229",Ashlee,"1,219"
271,Allen,"1,228",Meghan,"1,219"
272,Trent,"1,225",Celeste,"1,203"
273,Tucker,"1,224",Brooklynn,"1,201"
274,Emilio,"1,216",Kamryn,"1,201"
275,Jakob,"1,214",Nora,"1,197"
276,Hudson,"1,209",Brittany,"1,193"
277,Maddox,"1,207",Esther,"1,193"
278,Santiago,"1,204",Lizbeth,"1,193"
279,Xander,"1,202",Julissa,"1,191"
280,Aden,"1,200",Cecilia,"1,189"
281,Rylan,"1,180",Jaden,"1,187"
282,Kameron,"1,176",Miriam,"1,187"
283,Kyler,"1,176",Julie,"1,181"
284,Pablo,"1,169",Joanna,"1,167"
285,Keith,"1,165",Asia,"1,162"
286,Cade,"1,162",Desiree,"1,161"
287,Adan,"1,156",Michaela,"1,153"
288,Asher,"1,156",Alayna,"1,149"
289,Donald,"1,150",Alivia,"1,141"
290,Alberto,"1,137",Camille,"1,139"
291,Darius,"1,134",Carolina,"1,133"
292,Alec,"1,127",Anastasia,"1,126"
293,Zion,"1,120",Tatiana,"1,124"
294,Gustavo,"1,114",Katelynn,"1,113"
295,Saul,"1,113",Ashlynn,"1,107"
296,Ryder,"1,110",Estrella,"1,105"
297,Casey,"1,101",Kaylie,"1,101"
298,Gael,"1,101",Emely,"1,079"
299,Theodore,"1,095",Sienna,"1,075"
300,Arturo,"1,093",Heather,"1,067"
301,Mathew,"1,093",Diamond,"1,057"
302,Mateo,"1,088",April,"1,054"
303,Jimmy,"1,085",Shannon,"1,053"
304,Quinn,"1,085",Eliana,"1,052"
305,Jude,"1,083",Eliza,"1,045"
306,Randy,"1,082",Ivy,"1,045"
307,Sawyer,"1,069",Jayda,"1,045"
308,Ezekiel,"1,068",Leila,"1,043"
309,Corbin,"1,067",Paola,"1,041"
310,Zackary,"1,066",Holly,"1,040"
311,Myles,"1,064",Melody,"1,039"
312,Brennan,"1,054",Natasha,"1,028"
313,Danny,"1,050",Claudia,"1,022"
314,Axel,"1,047",Daniella,"1,021"
315,Jerry,"1,043",Skyler,"1,019"
316,Lane,"1,039",Sandra,"1,018"
317,Dennis,"1,036",Josie,"1,017"
318,Tony,"1,030",Nancy,"1,014"
319,Lorenzo,"1,028",Georgia,"1,007"
320,Esteban,"1,023",Callie,"1,004"
321,Damon,"1,007",Kaitlin,"1,003"
322,Braeden,"1,004",Kirsten,"1,003"
323,Brenden,"1,002",Eden,"1,001"
324,Louis,"1,001",Heidi,994
325,Philip,993,Cindy,988
326,Brayan,978,Kristen,984
327,Curtis,960,Annika,979
328,Nickolas,939,Itzel,975
329,Charlie,934,Bridget,971
330,Jayson,923,Madeleine,968
331,Jonathon,921,Rose,967
332,Quentin,913,Yasmin,963
333,Zander,911,Helen,960
334,Morgan,901,Emilee,954
335,Ismael,898,Leilani,954
336,Nikolas,898,Aurora,952
337,Emiliano,885,Kiera,942
338,Gary,877,Rylie,941
339,Amir,872,Kathleen,934
340,Chandler,870,Marisol,928
341,Albert,869,Tara,928
342,Tristen,869,Denise,917
343,Darren,864,Tatum,915
344,Mekhi,861,Kadence,911
345,Salvador,861,Dayanara,909
346,Abel,855,Priscilla,908
347,Jay,852,Ruth,908
348,Ezra,851,Raven,904
349,Caiden,849,Kristina,903
350,Joaquin,847,Wendy,901
351,Alfredo,844,Ryleigh,899
352,Julius,843,Anahi,893
353,Declan,842,Ximena,890
354,Camron,840,Talia,888
355,Moises,835,Brenna,885
356,Arthur,830,Patricia,879
357,Holden,830,Iris,878
358,Larry,828,Madalyn,875
359,Douglas,821,Kaydence,874
360,Braylon,818,Kassandra,870
361,Bryant,814,Nyla,869
362,Dallas,814,Serena,869
363,Orlando,813,Lexi,868
364,Ramon,813,Sage,868
365,Keaton,808,Perla,865
366,Marvin,808,Lucia,852
367,Mauricio,807,Meredith,852
368,Ernesto,804,Alissa,849
369,Walker,803,Violet,846
370,Joe,796,Janiya,845
371,Hugo,795,Nayeli,844
372,Reece,779,Fiona,843
373,Cory,773,Lola,843
374,Walter,770,Sasha,843
375,Felix,769,Harley,841
376,Ricky,768,Angie,836
377,Chad,767,Annie,836
378,Maximus,766,Sidney,834
379,Yahir,762,Izabella,829
380,Marc,759,Samara,825
381,Tate,759,Madisyn,819
382,Ali,758,Kiana,817
383,Dean,755,Mercedes,817
384,Jonas,755,Dulce,815
385,Braydon,752,Kiley,815
386,Elliot,750,Shayla,815
387,Isiah,742,Jimena,811
388,Weston,742,Litzy,810
389,Jaxson,739,Kyleigh,809
390,Easton,735,Alina,808
391,Bennett,734,Marisa,800
392,Davis,730,Rachael,797
393,Rodrigo,730,Fernanda,795
394,Russell,730,Genevieve,795
395,Lawrence,725,Tori,795
396,Chris,723,Christine,792
397,Shaun,722,Dana,791
398,Nasir,714,Harmony,790
399,Eddie,708,Paulina,789
400,Luca,706,Yesenia,786
401,Uriel,706,Lesly,783
402,Kristopher,705,Nia,782
403,Javon,703,Maritza,780
404,Reese,699,Hailee,779
405,Issac,698,Johanna,778
406,Terry,693,Lauryn,777
407,Micheal,684,Rosa,776
408,Graham,670,Casey,769
409,Zachariah,667,Joselyn,762
410,Amari,666,Marina,759
411,Maurice,661,Logan,758
412,Silas,659,Imani,757
413,Elliott,658,Cierra,756
414,Kade,656,Alice,754
